keyword,total_mentions,asin_count,avg_sentiment,avg_star_rating,effectiveness_score,suggestion,notes,used_in_asins
normal wax,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B08X1SX524
this high margin wax,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B08X1SX524
their,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00XCCPOC2
evening,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00XCCPOC2
april,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00XCCPOC2
very good product,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00XCCPOC2
black car,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00XCCPOC2
carnauba wax,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00XCCPOC2
very good workout,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B00XCCPOC2
a strong applicator,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
a small amount,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
its promise,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
this tyre polish,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
car lover,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
the 500ml bottle great value,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
the overall look,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
any greasy residue,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
the tyre,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
"a rich, glossy finish",1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
a few week,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B0C77HQZ17
great shine,1,1,0.0,4.0,4.19,Low priority,Low usage or weak sentiment,B089Z96M1T
